,Event,mass1,mass2,mchirp,spin1x,spin1y,spin1z,spin2x,spin2y,spin2z,mass1_recover,mass2_recover,mchirp_recover,spin1x_recover,spin1y_recover,spin1z_recover,spin2x_recover,spin2y_recover,spin2z_recover,SNR,P_NS,P_EMB,M_rem,label
66,65867_1000658670,1.4073815,1.5163846,1.2715815,0.0,0.0,0.0,0.0,0.0,0.0,1.5989316,1.336407,1.2715385,0.0,0.0,0.0,0.0,0.0,0.0,10.49802670188845,1.0,1.0,0.010400956185166751,0
67,67491_1000674909,1.4324754,1.5170145,1.2832072,0.0,0.0,0.0,0.0,0.0,0.0,1.8235457,1.201647,1.2831149,0.0,0.0,0.0,0.0,0.0,0.0,9.577608355994677,1.0,1.0,0.0062176643070237245,0
68,68261_1000682609,1.3321965,1.3131106,1.1514008,0.0,0.0,0.0,0.0,0.0,0.0,1.4106739,1.2410858,1.1514106,0.0,0.0,0.0,0.0,0.0,0.0,18.2249980322348,1.0,1.0,0.03272720842913734,1
69,66290_1000662899,1.3350475,1.3351066,1.1622521,0.0,0.0,0.0,0.0,0.0,0.0,1.42587,1.251155,1.1622623,0.0,0.0,0.0,0.0,0.0,0.0,10.72280392325995,1.0,1.0,0.02690221090982484,1
70,67149_1000671489,1.3954211,1.398465,1.2161087,0.0,0.0,0.0,0.0,0.0,0.0,1.4071923,1.3867368,1.2160891,0.0,0.0,0.0,0.0,0.0,0.0,10.20420409448173,1.0,1.0,0.012932301659545637,0
71,63757_1000637570,1.360228,1.5842578,1.2772051,0.0,0.0,0.0,0.0,0.0,0.0,1.5100402,1.4257843,1.2772602,0.0,0.0,0.0,0.0,0.0,0.0,11.02195079906495,1.0,1.0,0.019593051284228166,0
72,63968_1000639680,1.4739636,1.4620146,1.2779461,0.0,0.0,0.0,0.0,0.0,0.0,2.164212,1.0227067,1.2774866,0.0,0.0,0.0,0.0,0.0,0.0,9.49537231267585,1.0,1.0,0.002459748427446324,0
73,64448_1000644480,1.367239,1.2781781,1.1507015,0.0,0.0,0.0,0.0,0.0,0.0,1.7598041,1.0078887,1.1505423,0.0,0.0,0.0,0.0,0.0,0.0,19.52674795753978,1.0,1.0,0.042422608852508197,1
74,69379_1000693789,1.404252,1.3654853,1.2054565,0.0,0.0,0.0,0.0,0.0,0.0,1.4575375,1.3160973,1.20541,0.0,0.0,0.0,0.0,0.0,0.0,10.80842703828492,1.0,1.0,0.019396301491362684,0
75,67722_1000677220,1.353136,1.409249,1.2021002,0.0,0.0,0.0,0.0,0.0,0.0,1.6475811,1.1641442,1.2020363,0.0,0.0,0.0,0.0,0.0,0.0,14.78531075838416,1.0,1.0,0.022288820144134084,0
76,62626_1000626259,1.4779739,1.4032277,1.2536093,0.0,0.0,0.0,0.0,0.0,0.0,1.8636949,1.1264038,1.253442,0.0,0.0,0.0,0.0,0.0,0.0,13.63730464125482,1.0,1.0,0.01129339299477291,0
